         3        10         3        -4456.68
         3        14         3        -5699.18
         4        14        29        -4308.04
         4        18         3             0.0
         4        14        15             0.0
         4        34        14             0.0
         4        13        24             0.0
         4         1         5        -824.243
         4        25        28        -527.516
         4         6         3        -4579.13
         4         4         5        -2969.93
