         3        10         3        -864.136
         3        14         3         -1027.5
         4        14        29        -2584.83
         4        18         3             0.0
         4        14        15             0.0
         4        34        14             0.0
         4        13        24             0.0
         4         1         5        -164.849
         4        25        28        -316.509
         4         6         3        -2204.58
         4         4         5        -899.524
