         3        10         3        -865.317
         3        14         3        -926.736
         4        14        29        -944.903
         4        18         3             0.0
         4        14        15             0.0
         4        34        14             0.0
         4        13        24             0.0
         4         1         5        -253.099
         4        25        28             0.0
         4         6         3        -321.492
         4         4         5        -88.1347
